,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,1804,Z24- vacas secas descarte,2,516,"30,0",1759,"600,7691249","24,0","1,4","0,86","7,83",2025-05-25,2025-07-11
,1805,Z11 - Lote B,3,197,"49,0",1755,"620,6544006","30,7","1,8","0,90","9,00",2025-06-20,2025-07-11
,1806,Z10 - Lote A,3,93,"57,0",1745,"639,0167419","33,7","1,9","0,91","9,32",2025-06-20,2025-07-11
,1811,Z11 - Lote B,3,223,"28,0",1679,"616,5308739","23,6","1,3","0,84","7,58",2025-06-20,2025-07-11
,1812,Z11 - Lote B,3,223,"31,0",1674,"616,5308739","24,6","1,4","0,85","7,84",2025-06-20,2025-07-11
,1813,Z10 - Lote A,3,89,"47,0",1661,"639,3840552","30,4","1,7","0,89","8,83",2025-06-20,2025-07-11
,1816,Z14 - Lote C,2,482,"33,0",1618,"601,1305099","25,0","1,5","0,87","8,07",2025-06-20,2025-07-11
,1817,Z11 - Lote B,3,56,"50,0",1617,"638,4776043","30,9","1,8","0,91","9,13",2025-06-20,2025-07-11
,1818,Z19 - Lote D,3,132,"29,0",1601,"632,9237165","24,3","1,3","0,84","7,59",2025-06-20,2025-07-11
,1819,Z10 - Lote A,3,173,"57,0",1598,"624,9785203","33,5","1,9","0,91","9,36",2025-06-20,2025-07-11
,1821,Z10 - Lote A,3,121,"56,0",1597,"634,9475565","33,4","1,9","0,91","9,28",2025-06-20,2025-07-11
,1829,Z10 - Lote A,3,98,"70,0",1579,"638,4628235","38,1","2,0","0,93","9,84",2025-06-20,2025-07-11
,1831,Z11 - Lote B,3,66,"58,0",1574,"639,6878892","33,8","1,9","0,92","9,44",2025-06-20,2025-07-11
,1836,Z19 - Lote D,3,26,"57,6",1567,"626,6508544","31,3","2,1","0,99","10,13",2025-06-20,2025-07-11
,1837,Z19 - Lote D,3,114,"28,0",1567,"636,1468493","24,0","1,3","0,84","7,50",2025-06-20,2025-07-11
,1844,Z11 - Lote B,3,102,"51,0",1554,"637,9535921","31,7","1,8","0,90","9,03",2025-06-20,2025-07-11
,1847,Z10 - Lote A,2,328,"41,0",1550,"605,9958743","27,7","1,6","0,89","8,60",2025-06-20,2025-07-11
,1848,Z10 - Lote A,3,62,"65,0",1545,"639,3249453","36,0","2,0","0,94","9,76",2025-06-20,2025-07-11
,1852,Z10 - Lote A,2,333,"32,9",1539,"605,6946881","25,0","1,5","0,86","8,04",2025-05-25,2025-07-11
,1855,Z14 - Lote C,3,59,"57,0",1536,"638,9493513","33,3","1,9","0,92","9,44",2025-06-20,2025-07-11
,1856,Z11 - Lote B,2,453,"30,0",1536,"601,5640576","24,0","1,4","0,86","7,83",2025-06-20,2025-07-11
,1859,Z11 - Lote B,2,286,"47,0",1533,"609,1527082","29,8","1,8","0,90","8,94",2025-06-20,2025-07-11
,1864,Z11 - Lote B,2,420,"36,0",1522,"602,2516112","26,0","1,5","0,87","8,29",2025-06-20,2025-07-11
,1865,Z19 - Lote D,2,222,"24,0",1521,"616,677637","22,3","1,2","0,83","7,21",2025-06-20,2025-07-11
,1866,Z10 - Lote A,3,67,"63,0",1518,"639,7555966","35,5","2,0","0,93","9,65",2025-06-20,2025-07-11
,1867,Z11 - Lote B,3,110,"35,0",1517,"636,7892263","26,4","1,5","0,86","8,06",2025-06-20,2025-07-11
,1870,Z10 - Lote A,3,109,"34,0",1514,"636,9440974","26,1","1,5","0,86","7,98",2025-06-20,2025-07-11
,1871,Z10 - Lote A,2,340,"33,9",1514,"605,2962744","25,4","1,5","0,87","8,12",2025-05-25,2025-07-11
,1872,Z14 - Lote C,3,57,"57,0",1512,"638,6459742","33,2","1,9","0,93","9,46",2025-06-20,2025-07-11
,1873,Z10 - Lote A,3,70,"71,9",1512,"639,9070599","38,5","2,1","0,94","9,96",2025-06-20,2025-07-11
,1875,Z11 - Lote B,2,321,"51,0",1509,"606,4419576","31,1","1,8","0,91","9,16",2025-06-20,2025-07-11
,1876,Z10 - Lote A,2,291,"55,0",1509,"608,7121152","32,5","1,9","0,91","9,35",2025-06-20,2025-07-11
,1877,Z11 - Lote B,2,124,"36,0",1509,"634,4097369","26,7","1,5","0,87","8,14",2025-06-20,2025-07-11
,1881,Z19 - Lote D,3,106,"29,0",1506,"637,3935078","24,4","1,3","0,84","7,58",2025-06-20,2025-07-11
,1885,Z11 - Lote B,1,724,"43,0",1495,"600,008806","28,9","1,7","0,87","8,56",2025-06-20,2025-07-11
,1887,Z11 - Lote B,2,341,"27,6",1492,"605,241497","23,2","1,3","0,85","7,60",2025-05-25,2025-07-11
,1888,Z11 - Lote B,2,264,"27,0",1491,"611,3287126","23,2","1,3","0,84","7,52",2025-06-20,2025-07-11
,1889,Z11 - Lote B,3,25,"46,0",1491,"625,9697872","27,6","1,9","0,97","9,54",2025-05-25,2025-07-11
,1891,Z11 - Lote B,2,315,"35,3",1489,"606,8480503","25,9","1,5","0,87","8,21",2025-06-20,2025-07-11
,1892,Z14 - Lote C,3,48,"42,7",1486,"636,693233","28,7","1,7","0,89","8,65",2025-06-20,2025-07-11
,1898,Z14 - Lote C,3,56,"54,0",1479,"638,4776043","32,2","1,9","0,92","9,33",2025-06-20,2025-07-11
,1900,Z10 - Lote A,2,281,"42,0",1476,"609,6126443","28,2","1,7","0,89","8,65",2025-06-20,2025-07-11
,1901,Z19 - Lote D,2,379,"13,0",1476,"603,5099234","18,3","0,8","0,78","5,95",2025-06-20,2025-07-11
,1897,Z19 - Lote D,2,433,"28,0",1480,"601,9518853","23,3","1,3","0,85","7,65",2025-06-20,2025-07-11
,1903,Z14 - Lote C,3,22,"29,2",1474,"623,7860782","22,0","1,5","0,93","8,41",2025-03-28,2025-07-11
,1912,Z11 - Lote B,2,278,"49,0",1465,"609,8981294","30,5","1,8","0,90","9,05",2025-06-20,2025-07-11
,1917,Z19 - Lote D,2,347,"34,0",1455,"604,9236467","25,4","1,5","0,87","8,13",2025-06-20,2025-07-11
,1919,Z10 - Lote A,3,63,"46,0",1455,"639,4299653","29,8","1,7","0,90","8,85",2025-06-20,2025-07-11
,1923,Z11 - Lote B,2,294,"27,8",1444,"608,4568022","23,4","1,3","0,85","7,60",2025-05-25,2025-07-11
,1924,Z10 - Lote A,2,215,"54,4",1441,"617,7318543","32,5","1,9","0,91","9,28",2025-05-25,2025-07-11
,1925,Z11 - Lote B,2,308,"32,0",1441,"607,3509125","24,8","1,4","0,86","7,96",2025-05-25,2025-07-11
,1928,Z19 - Lote D,2,340,"20,5",1430,"605,2962744","20,9","1,1","0,82","6,89",2025-05-25,2025-07-11
,1930,Z11 - Lote B,2,230,"54,0",1427,"615,5304713","32,3","1,9","0,91","9,27",2025-06-20,2025-07-11
,1932,Z11 - Lote B,3,73,"47,0",1422,"639,9855224","30,3","1,7","0,90","8,86",2025-05-25,2025-07-11
,1934,Z11 - Lote B,2,271,"31,0",1420,"610,5928244","24,5","1,4","0,86","7,87",2025-06-20,2025-07-11
