,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,2146,Z13 - Lote N,1,263,"45,5",908,"603,8471537","29,9","1,7","0,88","8,69",2025-06-20,2025-07-11
,2147,Z13 - Lote N,1,200,"39,7",888,"607,7116399","28,0","1,6","0,86","8,31",2025-06-20,2025-07-11
,2148,Z13 - Lote N,1,203,"23,6",882,"607,4742541","22,6","1,2","0,81","7,00",2025-06-20,2025-07-11
,2149,Z13 - Lote N,1,125,"36,3",877,"615,2804861","27,0","1,5","0,85","8,05",2025-06-20,2025-07-11
,2150,Z14 - Lote C,1,49,"40,7",870,"619,2847462","28,3","1,6","0,87","8,42",2025-06-20,2025-07-11
,2151,Z13 - Lote N,1,59,"35,0",869,"619,9092706","26,5","1,5","0,85","8,00",2025-06-20,2025-07-11
,2153,Z13 - Lote N,1,188,"35,0",857,"608,7186636","26,5","1,5","0,85","7,98",2025-06-20,2025-07-11
,2154,Z13 - Lote N,1,204,"49,7",855,"607,396354","31,3","1,8","0,89","8,90",2025-06-20,2025-07-11
,2155,Z13 - Lote N,1,94,"42,0",853,"618,513111","29,0","1,6","0,87","8,42",2025-06-20,2025-07-11
,2157,Z14 - Lote C,1,51,"39,6",845,"619,4636338","27,8","1,6","0,87","8,37",2025-06-20,2025-07-11
,2158,Z19 - Lote D,1,95,"33,0",844,"618,4243913","26,0","1,4","0,84","7,80",2025-06-20,2025-07-11
,2159,Z13 - Lote N,1,143,"45,7",844,"613,2523974","30,1","1,7","0,87","8,66",2025-06-20,2025-07-11
,2160,Z13 - Lote N,1,108,"38,8",830,"617,1487718","27,9","1,5","0,86","8,22",2025-06-20,2025-07-11
,2161,Z07 - NP,1,36,"17,5",827,"617,3051828","20,3","1,0","0,80","6,44",2025-06-20,2025-07-11
,2162,Z13 - Lote N,1,146,"40,3",822,"612,9200517","28,3","1,6","0,86","8,33",2025-06-20,2025-07-11
,2164,Z13 - Lote N,1,113,"42,5",820,"616,614193","29,1","1,6","0,87","8,46",2025-06-20,2025-07-11
,2166,Z13 - Lote N,1,136,"32,0",820,"614,036705","25,6","1,4","0,84","7,73",2025-06-20,2025-07-11
,2167,Z13 - Lote N,1,74,"46,1",819,"619,8248588","30,3","1,7","0,88","8,69",2025-06-20,2025-07-11
,2168,Z13 - Lote N,1,142,"44,8",817,"613,36365","29,8","1,7","0,87","8,61",2025-06-20,2025-07-11
,2169,Z13 - Lote N,1,82,"50,7",817,"619,4240729","31,9","1,8","0,89","8,93",2025-06-20,2025-07-11
,2170,Z13 - Lote N,1,142,"43,9",815,"613,3636406","29,5","1,7","0,87","8,55",2025-06-20,2025-07-11
,2172,Z13 - Lote N,1,73,"32,0",809,"619,8601098","25,6","1,4","0,84","7,73",2025-06-20,2025-07-11
,2177,Z13 - Lote N,1,98,"40,6",806,"618,1487844","28,5","1,6","0,86","8,33",2025-06-20,2025-07-11
,2178,Z07 - NP,1,22,"18,6",805,"613,1169138","19,8","1,0","0,83","6,84",2025-06-20,2025-07-11
,2179,Z13 - Lote N,1,60,"36,3",805,"619,9373978","26,9","1,5","0,86","8,10",2025-05-25,2025-07-11
,2186,Z13 - Lote N,1,76,"44,6",791,"619,7435604","29,8","1,7","0,87","8,60",2025-06-20,2025-07-11
,2187,Z13 - Lote N,1,66,"27,8",790,"619,9972511","24,1","1,3","0,83","7,39",2025-06-20,2025-07-11
,2189,Z13 - Lote N,1,54,"40,8",787,"619,6787227","28,3","1,6","0,87","8,43",2025-06-20,2025-07-11
,2191,Z13 - Lote N,1,78,"44,8",787,"619,6491085","29,9","1,7","0,87","8,61",2025-06-20,2025-07-11
,2192,Z13 - Lote N,1,58,"37,4",787,"619,8749214","27,2","1,5","0,86","8,18",2025-06-20,2025-07-11
,2194,Z13 - Lote N,1,47,"30,9",787,"619,0752782","25,0","1,4","0,84","7,71",2025-06-20,2025-07-11
,2197,Z07 - NP,1,40,"41,5",785,"618,0801595","28,2","1,6","0,88","8,56",2025-06-20,2025-07-11
,2201,Z13 - Lote N,1,79,"34,7",782,"619,5971504","26,5","1,5","0,85","7,93",2025-06-20,2025-07-11
,2198,Z13 - Lote N,1,69,"40,5",785,"619,9632025","28,4","1,6","0,86","8,36",2025-06-20,2025-07-11
,2202,Z13 - Lote N,1,59,"42,3",780,"619,9088736","28,9","1,6","0,87","8,50",2025-06-20,2025-07-11
,2203,Z13 - Lote N,1,76,"38,7",778,"619,7434507","27,8","1,5","0,86","8,22",2025-06-20,2025-07-11
,2204,Z13 - Lote N,1,60,"32,7",777,"619,9371866","25,7","1,4","0,84","7,82",2025-06-20,2025-07-11
,2205,Z13 - Lote N,1,64,"37,9",777,"619,9970908","27,5","1,5","0,86","8,19",2025-06-20,2025-07-11
,2210,Z07 - NP,1,29,"29,8",771,"615,5249695","23,9","1,4","0,86","7,85",2025-06-20,2025-07-11
,2213,Z07 - NP,1,31,"31,7",766,"616,0927618","24,6","1,4","0,87","7,98",2025-06-20,2025-07-11
,2214,Z13 - Lote N,1,48,"33,1",766,"619,1835149","25,8","1,4","0,85","7,88",2025-06-20,2025-07-11
,2215,Z13 - Lote N,1,57,"36,4",766,"619,8348624","26,9","1,5","0,86","8,12",2025-06-20,2025-07-11
,2219,Z07 - NP,1,24,"26,8",758,"613,8753629","22,5","1,3","0,86","7,70",2025-06-20,2025-07-11
,2221,Z07 - NP,1,40,"37,4",755,"618,0798239","26,9","1,5","0,87","8,28",2025-06-20,2025-07-11
,2224,Z07 - NP,1,40,"32,7",752,"618,0797788","25,4","1,4","0,85","7,92",2025-06-20,2025-07-11
,2228,Z07 - NP,1,41,"35,5",750,"618,2488272","26,3","1,5","0,86","8,13",2025-06-20,2025-07-11
,2230,Z07 - NP,1,42,"40,6",749,"618,4085141","28,0","1,6","0,88","8,48",2025-06-20,2025-07-11
,2231,Z07 - NP,1,37,"25,2",749,"617,5136788","22,8","1,2","0,83","7,29",2025-06-20,2025-07-11
,2232,Z13 - Lote N,1,53,"30,4",748,"619,6132799","24,8","1,4","0,84","7,67",2025-06-20,2025-07-11
,2236,Z07 - NP,1,14,"27,7",745,"609,4396405","21,7","1,4","0,91","8,16",2025-06-20,2025-07-11
,2237,Z13 - Lote N,1,55,"32,6",744,"619,7366182","25,6","1,4","0,85","7,84",2025-06-20,2025-07-11
,2242,Z08 - NPP,1,37,"31,7",741,"617,5135377","24,9","1,4","0,86","7,88",2025-06-20,2025-07-11
,2247,Z13 - Lote N,1,49,"37,5",738,"619,2837631","27,2","1,5","0,86","8,20",2025-06-20,2025-07-11
,2252,Z13 - Lote N,1,54,"37,2",734,"619,6779949","27,1","1,5","0,86","8,19",2025-06-20,2025-07-11
,2254,Z13 - Lote N,1,48,"36,4",730,"619,1829037","26,8","1,5","0,86","8,13",2025-06-20,2025-07-11
,2257,Z08 - NPP,1,20,"24,4",729,"612,2960935","21,4","1,3","0,87","7,57",2025-06-20,2025-07-11
,2260,Z05 - N1,1,14,"21,6",725,"609,4392132","19,9","1,2","0,88","7,50",2025-06-20,2025-07-11
